date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:47	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Dec%202016%2018:05:48%20GMT	http://geektyper.com/robots.txt		(from )
00:05:47	13570/13570	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202016%2009:39:24%20GMT	http://geektyper.com/combine/	C:/My%20Web%20Sites/adf/geektyper.com/combine/index.html	(from )
00:05:47	6100/6100	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Dec%202015%2013:33:25%20GMT	http://geektyper.com/ASSETS/style.css	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/style.css	(from http://geektyper.com/combine/)
00:05:48	2929/2929	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Dec%202015%2019:15:30%20GMT	http://geektyper.com/ASSETS/windows.css	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/windows.css	(from http://geektyper.com/combine/)
00:05:48	454/454	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Dec%202015%2013:12:36%20GMT	http://geektyper.com/combine/mod.css	C:/My%20Web%20Sites/adf/geektyper.com/combine/mod.css	(from http://geektyper.com/combine/)
00:05:49	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202016%2018:05:50%20GMT	http://bgrins.github.com/spectrum/spectrum.css	C:/My%20Web%20Sites/adf/bgrins.github.com/spectrum/spectrum.4.delayed	(from http://geektyper.com/combine/)
00:05:50	14921/14921	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Dec%202015%2019:06:40%20GMT	http://bgrins.github.io/spectrum/spectrum.css	C:/My%20Web%20Sites/adf/bgrins.github.io/spectrum/spectrum.css	(from http://geektyper.com/combine/)
00:05:50	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202016%2018:05:51%20GMT	http://bgrins.github.com/spectrum/spectrum.js	C:/My%20Web%20Sites/adf/bgrins.github.com/spectrum/spectrum.js	(from http://geektyper.com/combine/)
00:05:52	2777/2777	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2026%20Oct%202014%2000:40:18%20GMT	http://geektyper.com/ASSETS/jquery.mousewheel.min.js	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/jquery.mousewheel.min.js	(from http://geektyper.com/combine/)
00:05:53	14750/14750	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2001%20Dec%202015%2019:09:16%20GMT	http://geektyper.com/ASSETS/script.js	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/script.js	(from http://geektyper.com/combine/)
